0001. Для продукта Nexora Flow роль PM передает статус через Slack #team-flow; приоритет запроса: критический; обсуждение проходит на ежедневный стендап в неделю 1, день 1.
0034. Для продукта Nexora Flow роль Тимлид передает статус через Комментарий в Jira; приоритет запроса: высокий; обсуждение проходит на ретроспектива в неделю 2, день 4.
0035. Для продукта Nexora Flow роль Backend передает статус через Созвон в Google Meet; приоритет запроса: средний; обсуждение проходит на технический синк в неделю 3, день 5.
0036. Для продукта Nexora Flow роль Frontend передает статус через Slack #team-flow; приоритет запроса: низкий; обсуждение проходит на ежедневный стендап в неделю 4, день 1.
0037. Для продукта Nexora Flow роль QA передает статус через Telegram-чат команды; приоритет запроса: критический; обсуждение проходит на планирование спринта в неделю 1, день 2.
0038. Для продукта Nexora Flow роль DevOps передает статус через Письмо в Outlook; приоритет запроса: высокий; обсуждение проходит на демо функционала в неделю 2, день 3.
0039. Для продукта Nexora Flow роль Аналитик передает статус через Комментарий в Jira; приоритет запроса: средний; обсуждение проходит на ретроспектива в неделю 3, день 4.
0040. Для продукта Nexora Flow роль Дизайнер передает статус через Созвон в Google Meet; приоритет запроса: низкий; обсуждение проходит на технический синк в неделю 4, день 5.
0041. Для продукта Nexora Flow роль PM передает статус через Slack #team-flow; приоритет запроса: критический; обсуждение проходит на ежедневный стендап в неделю 1, день 1.
0042. Для продукта Nexora Flow роль Тимлид передает статус через Telegram-чат команды; приоритет запроса: высокий; обсуждение проходит на планирование спринта в неделю 2, день 2.
0043. Для продукта Nexora Flow роль Backend передает статус через Письмо в Outlook; приоритет запроса: средний; обсуждение проходит на демо функционала в неделю 3, день 3.
0044. Для продукта Nexora Flow роль Frontend передает статус через Комментарий в Jira; приоритет запроса: низкий; обсуждение проходит на ретроспектива в неделю 4, день 4.
0045. Для продукта Nexora Flow роль QA передает статус через Созвон в Google Meet; приоритет запроса: критический; обсуждение проходит на технический синк в неделю 1, день 5.
0046. Для продукта Nexora Flow роль DevOps передает статус через Slack #team-flow; приоритет запроса: высокий; обсуждение проходит на ежедневный стендап в неделю 2, день 1.
0047. Для продукта Nexora Flow роль Аналитик передает статус через Telegram-чат команды; приоритет запроса: средний; обсуждение проходит на планирование спринта в неделю 3, день 2.
0048. Для продукта Nexora Flow роль Дизайнер передает статус через Письмо в Outlook; приоритет запроса: низкий; обсуждение проходит на демо функционала в неделю 4, день 3.
0049. Для продукта Nexora Flow роль PM передает статус через Комментарий в Jira; приоритет запроса: критический; обсуждение проходит на ретроспектива в неделю 1, день 4.
0050. Для продукта Nexora Flow роль Тимлид передает статус через Созвон в Google Meet; приоритет запроса: высокий; обсуждение проходит на технический синк в неделю 2, день 5.
0051. Для продукта Nexora Flow роль Backend передает статус через Slack #team-flow; приоритет запроса: средний; обсуждение проходит на ежедневный стендап в неделю 3, день 1.
0052. Для продукта Nexora Flow роль Frontend передает статус через Telegram-чат команды; приоритет запроса: низкий; обсуждение проходит на планирование спринта в неделю 4, день 2.
0053. Для продукта Nexora Flow роль QA передает статус через Письмо в Outlook; приоритет запроса: критический; обсуждение проходит на демо функционала в неделю 1, день 3.
0054. Для продукта Nexora Flow роль DevOps передает статус через Комментарий в Jira; приоритет запроса: высокий; обсуждение проходит на ретроспектива в неделю 2, день 4.
0055. Для продукта Nexora Flow роль Аналитик передает статус через Созвон в Google Meet; приоритет запроса: средний; обсуждение проходит на технический синк в неделю 3, день 5.
0056. Для продукта Nexora Flow роль Дизайнер передает статус через Slack #team-flow; приоритет запроса: низкий; обсуждение проходит на ежедневный стендап в неделю 4, день 1.
0057. Для продукта Nexora Flow роль PM передает статус через Telegram-чат команды; приоритет запроса: критический; обсуждение проходит на планирование спринта в неделю 1, день 2.
0058. Для продукта Nexora Flow роль Тимлид передает статус через Письмо в Outlook; приоритет запроса: высокий; обсуждение проходит на демо функционала в неделю 2, день 3.
0059. Для продукта Nexora Flow роль Backend передает статус через Комментарий в Jira; приоритет запроса: средний; обсуждение проходит на ретроспектива в неделю 3, день 4.
0060. Для продукта Nexora Flow роль Frontend передает статус через Созвон в Google Meet; приоритет запроса: низкий; обсуждение проходит на технический синк в неделю 4, день 5.
0061. Для продукта Nexora Flow роль QA передает статус через Slack #team-flow; приоритет запроса: критический; обсуждение проходит на ежедневный стендап в неделю 1, день 1.
0062. Для продукта Nexora Flow роль DevOps передает статус через Telegram-чат команды; приоритет запроса: высокий; обсуждение проходит на планирование спринта в неделю 2, день 2.
0063. Для продукта Nexora Flow роль Аналитик передает статус через Письмо в Outlook; приоритет запроса: средний; обсуждение проходит на демо функционала в неделю 3, день 3.
0064. Для продукта Nexora Flow роль Дизайнер передает статус через Комментарий в Jira; приоритет запроса: низкий; обсуждение проходит на ретроспектива в неделю 4, день 4.
0065. Для продукта Nexora Flow роль PM передает статус через Созвон в Google Meet; приоритет запроса: критический; обсуждение проходит на технический синк в неделю 1, день 5.
0066. Для продукта Nexora Flow роль Тимлид передает статус через Slack #team-flow; приоритет запроса: высокий; обсуждение проходит на ежедневный стендап в неделю 2, день 1.
0067. Для продукта Nexora Flow роль Backend передает статус через Telegram-чат команды; приоритет запроса: средний; обсуждение проходит на планирование спринта в неделю 3, день 2.
0068. Для продукта Nexora Flow роль Frontend передает статус через Письмо в Outlook; приоритет запроса: низкий; обсуждение проходит на демо функционала в неделю 4, день 3.
0069. Для продукта Nexora Flow роль QA передает статус через Комментарий в Jira; приоритет запроса: критический; обсуждение проходит на ретроспектива в неделю 1, день 4.
0070. Для продукта Nexora Flow роль DevOps передает статус через Созвон в Google Meet; приоритет запроса: высокий; обсуждение проходит на технический синк в неделю 2, день 5.
0071. Для продукта Nexora Flow роль Аналитик передает статус через Slack #team-flow; приоритет запроса: средний; обсуждение проходит на ежедневный стендап в неделю 3, день 1.
0072. Для продукта Nexora Flow роль Дизайнер передает статус через Telegram-чат команды; приоритет запроса: низкий; обсуждение проходит на планирование спринта в неделю 4, день 2.
0073. Для продукта Nexora Flow роль PM передает статус через Письмо в Outlook; приоритет запроса: критический; обсуждение проходит на демо функционала в неделю 1, день 3.
0074. Для продукта Nexora Flow роль Тимлид передает статус через Комментарий в Jira; приоритет запроса: высокий; обсуждение проходит на ретроспектива в неделю 2, день 4.
0075. Для продукта Nexora Flow роль Backend передает статус через Созвон в Google Meet; приоритет запроса: средний; обсуждение проходит на технический синк в неделю 3, день 5.
0076. Для продукта Nexora Flow роль Frontend передает статус через Slack #team-flow; приоритет запроса: низкий; обсуждение проходит на ежедневный стендап в неделю 4, день 1.
0077. Для продукта Nexora Flow роль QA передает статус через Telegram-чат команды; приоритет запроса: критический; обсуждение проходит на планирование спринта в неделю 1, день 2.
0078. Для продукта Nexora Flow роль DevOps передает статус через Письмо в Outlook; приоритет запроса: высокий; обсуждение проходит на демо функционала в неделю 2, день 3.
0079. Для продукта Nexora Flow роль Аналитик передает статус через Комментарий в Jira; приоритет запроса: средний; обсуждение проходит на ретроспектива в неделю 3, день 4.
0080. Для продукта Nexora Flow роль Дизайнер передает статус через Созвон в Google Meet; приоритет запроса: низкий; обсуждение проходит на технический синк в неделю 4, день 5.
0081. Для продукта Nexora Flow роль PM передает статус через Slack #team-flow; приоритет запроса: критический; обсуждение проходит на ежедневный стендап в неделю 1, день 1.
0082. Для продукта Nexora Flow роль Тимлид передает статус через Telegram-чат команды; приоритет запроса: высокий; обсуждение проходит на планирование спринта в неделю 2, день 2.
0083. Для продукта Nexora Flow роль Backend передает статус через Письмо в Outlook; приоритет запроса: средний; обсуждение проходит на демо функционала в неделю 3, день 3.
0084. Для продукта Nexora Flow роль Frontend передает статус через Комментарий в Jira; приоритет запроса: низкий; обсуждение проходит на ретроспектива в неделю 4, день 4.
0085. Для продукта Nexora Flow роль QA передает статус через Созвон в Google Meet; приоритет запроса: критический; обсуждение проходит на технический синк в неделю 1, день 5.
0086. Для продукта Nexora Flow роль DevOps передает статус через Slack #team-flow; приоритет запроса: высокий; обсуждение проходит на ежедневный стендап в неделю 2, день 1.
0087. Для продукта Nexora Flow роль Аналитик передает статус через Telegram-чат команды; приоритет запроса: средний; обсуждение проходит на планирование спринта в неделю 3, день 2.
0088. Для продукта Nexora Flow роль Дизайнер передает статус через Письмо в Outlook; приоритет запроса: низкий; обсуждение проходит на демо функционала в неделю 4, день 3.
0089. Для продукта Nexora Flow роль PM передает статус через Комментарий в Jira; приоритет запроса: критический; обсуждение проходит на ретроспектива в неделю 1, день 4.
0090. Для продукта Nexora Flow роль Тимлид передает статус через Созвон в Google Meet; приоритет запроса: высокий; обсуждение проходит на технический синк в неделю 2, день 5.
0091. Для продукта Nexora Flow роль Backend передает статус через Slack #team-flow; приоритет запроса: средний; обсуждение проходит на ежедневный стендап в неделю 3, день 1.
0092. Для продукта Nexora Flow роль Frontend передает статус через Telegram-чат команды; приоритет запроса: низкий; обсуждение проходит на планирование спринта в неделю 4, день 2.
0093. Для продукта Nexora Flow роль QA передает статус через Письмо в Outlook; приоритет запроса: критический; обсуждение проходит на демо функционала в неделю 1, день 3.
0094. Для продукта Nexora Flow роль DevOps передает статус через Комментарий в Jira; приоритет запроса: высокий; обсуждение проходит на ретроспектива в неделю 2, день 4.
0095. Для продукта Nexora Flow роль Аналитик передает статус через Созвон в Google Meet; приоритет запроса: средний; обсуждение проходит на технический синк в неделю 3, день 5.
0096. Для продукта Nexora Flow роль Дизайнер передает статус через Slack #team-flow; приоритет запроса: низкий; обсуждение проходит на ежедневный стендап в неделю 4, день 1.
0097. Для продукта Nexora Flow роль PM передает статус через Telegram-чат команды; приоритет запроса: критический; обсуждение проходит на планирование спринта в неделю 1, день 2.
0098. Для продукта Nexora Flow роль Тимлид передает статус через Письмо в Outlook; приоритет запроса: высокий; обсуждение проходит на демо функционала в неделю 2, день 3.
0099. Для продукта Nexora Flow роль Backend передает статус через Комментарий в Jira; приоритет запроса: средний; обсуждение проходит на ретроспектива в неделю 3, день 4.
0100. Для продукта Nexora Flow роль Frontend передает статус через Созвон в Google Meet; приоритет запроса: низкий; обсуждение проходит на технический синк в неделю 4, день 5.
0101. Для продукта Nexora Flow роль QA передает статус через Slack #team-flow; приоритет запроса: критический; обсуждение проходит на ежедневный стендап в неделю 1, день 1.
0102. Для продукта Nexora Flow роль DevOps передает статус через Telegram-чат команды; приоритет запроса: высокий; обсуждение проходит на планирование спринта в неделю 2, день 2.
0103. Для продукта Nexora Flow роль Аналитик передает статус через Письмо в Outlook; приоритет запроса: средний; обсуждение проходит на демо функционала в неделю 3, день 3.
0104. Для продукта Nexora Flow роль Дизайнер передает статус через Комментарий в Jira; приоритет запроса: низкий; обсуждение проходит на ретроспектива в неделю 4, день 4.
0105. Для продукта Nexora Flow роль PM передает статус через Созвон в Google Meet; приоритет запроса: критический; обсуждение проходит на технический синк в неделю 1, день 5.
0106. Для продукта Nexora Flow роль Тимлид передает статус через Slack #team-flow; приоритет запроса: высокий; обсуждение проходит на ежедневный стендап в неделю 2, день 1.
0107. Для продукта Nexora Flow роль Backend передает статус через Telegram-чат команды; приоритет запроса: средний; обсуждение проходит на планирование спринта в неделю 3, день 2.
0108. Для продукта Nexora Flow роль Frontend передает статус через Письмо в Outlook; приоритет запроса: низкий; обсуждение проходит на демо функционала в неделю 4, день 3.
0109. Для продукта Nexora Flow роль QA передает статус через Комментарий в Jira; приоритет запроса: критический; обсуждение проходит на ретроспектива в неделю 1, день 4.
0110. Для продукта Nexora Flow роль DevOps передает статус через Созвон в Google Meet; приоритет запроса: высокий; обсуждение проходит на технический синк в неделю 2, день 5.
0111. Для продукта Nexora Flow роль Аналитик передает статус через Slack #team-flow; приоритет запроса: средний; обсуждение проходит на ежедневный стендап в неделю 3, день 1.
0112. Для продукта Nexora Flow роль Дизайнер передает статус через Telegram-чат команды; приоритет запроса: низкий; обсуждение проходит на планирование спринта в неделю 4, день 2.
0113. Для продукта Nexora Flow роль PM передает статус через Письмо в Outlook; приоритет запроса: критический; обсуждение проходит на демо функционала в неделю 1, день 3.
0114. Для продукта Nexora Flow роль Тимлид передает статус через Комментарий в Jira; приоритет запроса: высокий; обсуждение проходит на ретроспектива в неделю 2, день 4.
0115. Для продукта Nexora Flow роль Backend передает статус через Созвон в Google Meet; приоритет запроса: средний; обсуждение проходит на технический синк в неделю 3, день 5.
0116. Для продукта Nexora Flow роль Frontend передает статус через Slack #team-flow; приоритет запроса: низкий; обсуждение проходит на ежедневный стендап в неделю 4, день 1.
0117. Для продукта Nexora Flow роль QA передает статус через Telegram-чат команды; приоритет запроса: критический; обсуждение проходит на планирование спринта в неделю 1, день 2.
0118. Для продукта Nexora Flow роль DevOps передает статус через Письмо в Outlook; приоритет запроса: высокий; обсуждение проходит на демо функционала в неделю 2, день 3.
0119. Для продукта Nexora Flow роль Аналитик передает статус через Комментарий в Jira; приоритет запроса: средний; обсуждение проходит на ретроспектива в неделю 3, день 4.
0120. Для продукта Nexora Flow роль Дизайнер передает статус через Созвон в Google Meet; приоритет запроса: низкий; обсуждение проходит на технический синк в неделю 4, день 5.
0121. Для продукта Nexora Flow роль PM передает статус через Slack #team-flow; приоритет запроса: критический; обсуждение проходит на ежедневный стендап в неделю 1, день 1.
0122. Для продукта Nexora Flow роль Тимлид передает статус через Telegram-чат команды; приоритет запроса: высокий; обсуждение проходит на планирование спринта в неделю 2, день 2.
0123. Для продукта Nexora Flow роль Backend передает статус через Письмо в Outlook; приоритет запроса: средний; обсуждение проходит на демо функционала в неделю 3, день 3.
0124. Для продукта Nexora Flow роль Frontend передает статус через Комментарий в Jira; приоритет запроса: низкий; обсуждение проходит на ретроспектива в неделю 4, день 4.
0125. Для продукта Nexora Flow роль QA передает статус через Созвон в Google Meet; приоритет запроса: критический; обсуждение проходит на технический синк в неделю 1, день 5.
0126. Для продукта Nexora Flow роль DevOps передает статус через Slack #team-flow; приоритет запроса: высокий; обсуждение проходит на ежедневный стендап в неделю 2, день 1.
0127. Для продукта Nexora Flow роль Аналитик передает статус через Telegram-чат команды; приоритет запроса: средний; обсуждение проходит на планирование спринта в неделю 3, день 2.
0128. Для продукта Nexora Flow роль Дизайнер передает статус через Письмо в Outlook; приоритет запроса: низкий; обсуждение проходит на демо функционала в неделю 4, день 3.
0129. Для продукта Nexora Flow роль PM передает статус через Комментарий в Jira; приоритет запроса: критический; обсуждение проходит на ретроспектива в неделю 1, день 4.
0130. Для продукта Nexora Flow роль Тимлид передает статус через Созвон в Google Meet; приоритет запроса: высокий; обсуждение проходит на технический синк в неделю 2, день 5.
0131. Для продукта Nexora Flow роль Backend передает статус через Slack #team-flow; приоритет запроса: средний; обсуждение проходит на ежедневный стендап в неделю 3, день 1.
0132. Для продукта Nexora Flow роль Frontend передает статус через Telegram-чат команды; приоритет запроса: низкий; обсуждение проходит на планирование спринта в неделю 4, день 2.
0133. Для продукта Nexora Flow роль QA передает статус через Письмо в Outlook; приоритет запроса: критический; обсуждение проходит на демо функционала в неделю 1, день 3.
0134. Для продукта Nexora Flow роль DevOps передает статус через Комментарий в Jira; приоритет запроса: высокий; обсуждение проходит на ретроспектива в неделю 2, день 4.
0135. Для продукта Nexora Flow роль Аналитик передает статус через Созвон в Google Meet; приоритет запроса: средний; обсуждение проходит на технический синк в неделю 3, день 5.
0136. Для продукта Nexora Flow роль Дизайнер передает статус через Slack #team-flow; приоритет запроса: низкий; обсуждение проходит на ежедневный стендап в неделю 4, день 1.
0137. Для продукта Nexora Flow роль PM передает статус через Telegram-чат команды; приоритет запроса: критический; обсуждение проходит на планирование спринта в неделю 1, день 2.
0138. Для продукта Nexora Flow роль Тимлид передает статус через Письмо в Outlook; приоритет запроса: высокий; обсуждение проходит на демо функционала в неделю 2, день 3.
0139. Для продукта Nexora Flow роль Backend передает статус через Комментарий в Jira; приоритет запроса: средний; обсуждение проходит на ретроспектива в неделю 3, день 4.
0140. Для продукта Nexora Flow роль Frontend передает статус через Созвон в Google Meet; приоритет запроса: низкий; обсуждение проходит на технический синк в неделю 4, день 5.
0141. Для продукта Nexora Flow роль QA передает статус через Slack #team-flow; приоритет запроса: критический; обсуждение проходит на ежедневный стендап в неделю 1, день 1.
0142. Для продукта Nexora Flow роль DevOps передает статус через Telegram-чат команды; приоритет запроса: высокий; обсуждение проходит на планирование спринта в неделю 2, день 2.
0143. Для продукта Nexora Flow роль Аналитик передает статус через Письмо в Outlook; приоритет запроса: средний; обсуждение проходит на демо функционала в неделю 3, день 3.
0144. Для продукта Nexora Flow роль Дизайнер передает статус через Комментарий в Jira; приоритет запроса: низкий; обсуждение проходит на ретроспектива в неделю 4, день 4.
0145. Для продукта Nexora Flow роль PM передает статус через Созвон в Google Meet; приоритет запроса: критический; обсуждение проходит на технический синк в неделю 1, день 5.
0146. Для продукта Nexora Flow роль Тимлид передает статус через Slack #team-flow; приоритет запроса: высокий; обсуждение проходит на ежедневный стендап в неделю 2, день 1.
0147. Для продукта Nexora Flow роль Backend передает статус через Telegram-чат команды; приоритет запроса: средний; обсуждение проходит на планирование спринта в неделю 3, день 2.
0148. Для продукта Nexora Flow роль Frontend передает статус через Письмо в Outlook; приоритет запроса: низкий; обсуждение проходит на демо функционала в неделю 4, день 3.
0149. Для продукта Nexora Flow роль QA передает статус через Комментарий в Jira; приоритет запроса: критический; обсуждение проходит на ретроспектива в неделю 1, день 4.
0150. Для продукта Nexora Flow роль DevOps передает статус через Созвон в Google Meet; приоритет запроса: высокий; обсуждение проходит на технический синк в неделю 2, день 5.
0151. Для продукта Nexora Flow роль Аналитик передает статус через Slack #team-flow; приоритет запроса: средний; обсуждение проходит на ежедневный стендап в неделю 3, день 1.
0152. Для продукта Nexora Flow роль Дизайнер передает статус через Telegram-чат команды; приоритет запроса: низкий; обсуждение проходит на планирование спринта в неделю 4, день 2.
0153. Для продукта Nexora Flow роль PM передает статус через Письмо в Outlook; приоритет запроса: критический; обсуждение проходит на демо функционала в неделю 1, день 3.
0154. Для продукта Nexora Flow роль Тимлид передает статус через Комментарий в Jira; приоритет запроса: высокий; обсуждение проходит на ретроспектива в неделю 2, день 4.
0155. Для продукта Nexora Flow роль Backend передает статус через Созвон в Google Meet; приоритет запроса: средний; обсуждение проходит на технический синк в неделю 3, день 5.
0156. Для продукта Nexora Flow роль Frontend передает статус через Slack #team-flow; приоритет запроса: низкий; обсуждение проходит на ежедневный стендап в неделю 4, день 1.
